combination,1,2,3,4,5,6,7
jpegls+png,5.68,5.784000000000001,5.76,5.4479999999999995,5.167999999999999,5.04,4.44
jpegls+avif,5.68,5.784000000000001,5.76,5.4479999999999995,5.176,5.04,4.44
jpegls+jpegxl,5.704,5.808,5.775999999999999,5.456,5.184,5.047999999999999,4.456
png+png,5.72,5.856,5.696000000000001,5.36,5.247999999999999,5.24,4.744
png+avif,5.72,5.856,5.696000000000001,5.36,5.256,5.24,4.744
avif+png,5.72,5.856,5.696000000000001,5.367999999999999,5.256,5.24,4.752
avif+avif,5.72,5.856,5.696000000000001,5.367999999999999,5.263999999999999,5.24,4.752
png+jpegxl,5.744,5.88,5.712000000000001,5.367999999999999,5.263999999999999,5.247999999999999,4.76
avif+jpegxl,5.744,5.88,5.712000000000001,5.376,5.272,5.247999999999999,4.768
jpegxl+png,5.728,5.872000000000001,5.712000000000001,5.3839999999999995,5.272,5.263999999999999,4.768
jpegxl+avif,5.728,5.872000000000001,5.712000000000001,5.3839999999999995,5.28,5.263999999999999,4.768
jpegxl+jpegxl,5.752000000000001,5.896,5.728,5.392,5.287999999999999,5.272,4.784000000000001
jpegls+jpegls,5.28,6.112,6.695999999999999,6.776,6.104,5.632,4.64
png+jpegls,5.32,6.184,6.632000000000001,6.688,6.184,5.831999999999999,4.944
avif+jpegls,5.32,6.184,6.632000000000001,6.696000000000001,6.192,5.831999999999999,4.952
jpegxl+jpegls,5.327999999999999,6.2,6.648,6.712000000000001,6.207999999999999,5.856,4.968
